Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Language,Photo,Group Membership,E-mail 1 - Type,E-mail 1 - Value,E-mail 2 - Type,E-mail 2 - Value,Phone 1 - Type,Phone 1 - Value,Website 1 - Type,Website 1 - Value
Emily Smith,Emily,,Smith,,,,,,,,,,,,,,,,,,,,,,,,,Class_22_23 ::: * myContacts,,example1@gmail.com,,,Mobile,0498 03 35 07,,
Michael Johnson,Michael,,Johnson,,,,,,,,,,,,,,,,,,,,,,,,,Class_22_23 ::: * myContacts,,example2@gmail.com,,,Mobile,0495 12 65 47,,
Ashley Williams,Ashley,,Williams,,,,,,,,,,,,,,,,,,,,,,,,,Class_22_23 ::: * myContacts,,example3@gmail.com,,,Mobile,0497 23 56 78,,
Matthew Jones,Matthew,,Jones,,,,,,,,,,,,,,,,,,,,,,,,,Class_22_23 ::: * myContacts,,example4@gmail.com,,,Mobile,0493 34 67 89,,
Sarah Brown,Sarah,,Brown,,,,,,,,,,,,,,,,,,,,,,,,,Class_22_23 ::: * myContacts,,example5@gmail.com,,,Mobile,0496 45 78 90,,
David Davis,David,,Davis,,,,,,,,,,,,,,,,,,,,,,,,,Class_22_23 ::: * myContacts,,example6@gmail.com,,,Mobile,0492 56 89 01,,
Jessica Garcia,Jessica,,Garcia,,,,,,,,,,,,,,,,,,,,,,,,,Class_22_23 ::: * myContacts,,example7@gmail.com,,,Mobile,0491 67 90 12,,
James Rodriguez,James,,Rodriguez,,,,,,,,,,,,,,,,,,,,,,,,,Class_22_23 ::: * myContacts,,example8@gmail.com,,,Mobile,0494 78 01 23,,
Lauren Martinez,Lauren,,Martinez,,,,,,,,,,,,,,,,,,,,,,,,,Class_22_23 ::: * myContacts,,example9@gmail.com,,,Mobile,0490 89 12 34,,
Daniel Hernandez,Daniel,,Hernandez,,,,,,,,,,,,,,,,,,,,,,,,,Class_22_23 ::: * myContacts,,example10@gmail.com,,,Mobile,0489 90 23 45,,
Rachel Lopez,Rachel,,Lopez,,,,,,,,,,,,,,,,,,,,,,,,,Class_22_23 ::: * myContacts,,example11@gmail.com,,,Mobile,0488 01 34 56,,
Andrew Gonzalez,Andrew,,Gonzalez,,,,,,,,,,,,,,,,,,,,,,,,,Class_22_23 ::: * myContacts,,example12@gmail.com,,,Mobile,0487 12 45 67,,
Megan Perez,Megan,,Perez,,,,,,,,,,,,,,,,,,,,,,,,,Class_22_23 ::: * myContacts,,example13@gmail.com,,,Mobile,0486 23 56 78,,
Nathan Anderson,Nathan,,Anderson,,,,,,,,,,,,,,,,,,,,,,,,,Class_22_23 ::: * myContacts,,example14@gmail.com,,,Mobile,0485 34 67 89,,
Elizabeth Taylor,Elizabeth,,Taylor,,,,,,,,,,,,,,,,,,,,,,,,,Class_22_23 ::: * myContacts,,example15@gmail.com,,,Mobile,0484 45 78 90,,
Justin Wilson,Justin,,Wilson,,,,,,,,,,,,,,,,,,,,,,,,,Class_22_23 ::: * myContacts,,example16@gmail.com,,,Mobile,0483 56 89 01,,
Alyssa Jackson,Alyssa,,Jackson,,,,,,,,,,,,,,,,,,,,,,,,,Class_22_23 ::: * myContacts,,example17@gmail.com,,,Mobile,0482 67 90 12,,
Christopher Clark,Christopher,,Clark,,,,,,,,,,,,,,,,,,,,,,,,,Class_22_23 ::: * myContacts,,example18@gmail.com,,,Mobile,0481 78 01 23,,
Hannah Lewis,Hannah,,Lewis,,,,,,,,,,,,,,,,,,,,,,,,,Class_22_23 ::: * myContacts,,example19@gmail.com,,,Mobile,0494 33 97 00,,
